city,location
Hāpur,"28.7309,77.7757"
Trichūr,"10.5276,76.2144"
Barddhamān,"23.2333,87.8667"
Panvel,"18.9944,73.1139"
Nizāmābād,"18.672,78.094"
Parbhani,"19.27,76.78"
Hisar,"29.15,75.7"
Fatehpur,"27.98,74.95"
Oulgaret,"11.957,79.7737"
Ingrāj Bāzār,"25.0119,88.1433"
Bada Barabīl,"22.12,85.4"
Dod Ballāpur,"13.292,77.543"
Bihār,"25.197,85.518"
Darbhanga,"26.17,85.9"
Sikandarābād,"28.4512,77.6955"
Pānīpat,"29.3875,76.97"
Āīzawl,"23.7272,92.7178"
Bāli,"22.65,88.34"
Palni,"10.45,77.5161"
Surajgarha,"25.25,86.23"
Karīmnagar,"18.4386,79.1288"
Dewās,"22.96,76.06"
Hugli,"22.9,88.39"
Chunchura,"22.9,88.39"
Sonpur,"25.7,85.18"
Ichalkaranji,"16.7,74.47"
Tirupati,"13.65,79.42"
Bhatinda,"30.23,74.9519"
Jālna,"19.8333,75.8833"
Satna,"24.6005,80.8322"
Sannai,"24.1582,80.751"
Mau,"25.9417,83.5611"
Bārāsat,"22.72,88.48"
Farrukhābād,"27.39,79.581"
Saugor,"23.83,78.71"
Ratlām,"23.334,75.037"
Chopda,"21.25,75.3"
Handwāra,"34.3997,74.2817"
Drug,"21.19,81.28"
Anantapur,"14.68,77.599"
Imphāl,"24.8074,93.9384"
Jagdalpur,"19.18,81.92"
Arrah,"25.5514,84.6603"
Etāwah,"26.77,79.03"
Malkājgiri,"17.4519,78.5362"
Tuni,"17.35,82.55"
Rāpar,"23.57,70.63"
Samāstipur,"25.8629,85.7811"
Bharatpur,"27.22,77.48"
Begusarai,"25.42,86.13"
Jūnāgarh,"19.8599,82.9338"
Nedumana,"8.9139,76.6889"
New Delhi,"28.6139,77.2089"
Tiruvottiyūr,"13.16,80.3"
Rāmnagar,"27.17,84.32"
Gāndhīdhām,"23.08,70.13"
Salūmbar,"24.08,74.02"
Krishnarājpur,"13.012,77.6951"
Nelamangala,"13.102,77.374"
Puducherry,"11.9167,79.8167"
Rāmgundam,"18.7639,79.475"
Pālanpur,"24.1722,72.4333"
Pandharpur,"17.6778,75.3278"
Masaurhi Buzurg,"25.35,85.02"
Katihār,"25.53,87.58"
Byatarayanpur,"13.0659,77.5922"
Ahor,"25.367,72.783"
Tuticorin,"8.7642,78.1348"
Gangānagar,"29.92,73.88"
Tinkhang,"27.23,95.17"
Rewa,"24.53,81.3"
Uluberiya,"22.47,88.11"
Bulandshahr,"28.4069,77.8497"
Chauhanpatti,"25.15,82.6"
Cannanore,"11.8745,75.3704"
Rāichūr,"16.2,77.37"
Machilīpatnam,"16.17,81.13"
Pāli,"25.77,73.33"
Songadh,"21.167,73.564"
Gadda Madiral,"18.7519,79.5133"
Miriālgūda,"16.8667,79.5833"
Haridwār,"29.945,78.163"
Vizianagaram,"18.1159,83.406"
Rāisinghnagar,"29.5342,73.4477"
Pāthardi,"19.17,75.18"
Mel Pālaiyam,"8.7,77.7069"
Khatīma,"28.92,79.97"
Petlād,"22.47,72.8"
Nadiād,"22.69,72.86"
Tanjore,"10.787,79.1378"
Kichha,"28.92,79.5"
Katri,"23.48,80.4"
Dagarua,"25.8,87.64"
Sambhal,"28.58,78.55"
Singrauliya,"24.202,82.666"
Naihāti,"22.89,88.42"
Porbandar,"21.6417,69.6293"
Yamunānagar,"30.133,77.288"
Pallāvaram,"12.9675,80.1491"
Khargone,"21.82,75.6187"
Secunderābād,"17.4399,78.4983"
Bhuj,"23.25,69.67"
Monghyr,"25.381,86.465"
Chāpra,"25.7848,84.7274"
Bhadrāvati,"13.8485,75.705"
Panchkula,"30.74,76.8"
Burhānpur,"21.3114,76.2289"
Kirātot,"32.8376,76.2296"
Kāpra,"17.4859,78.5651"
Ambāla,"30.38,76.78"
Kharagpur,"22.3302,87.3237"
Robertsonpet,"12.9563,78.2754"
Dindigul,"10.35,77.95"
Rānīwāra Kalān,"24.75,72.2167"
Shimla,"31.1033,77.1722"
Hospet,"15.2689,76.3909"
Māldah,"25.0044,88.1458"
Ongole,"15.506,80.049"
Betigeri,"15.443,75.6442"
Kodumur,"15.6833,77.7833"
Ellore,"16.7117,81.1031"
Deoghar,"24.48,86.7"
Chhindwāra,"22.057,78.9396"
Lingampalli,"17.4865,78.317"
Mokameh,"25.3898,85.9191"
Puri,"19.8,85.8167"
Haldia,"22.0667,88.0698"
Khandwa,"21.82,76.35"
Nandyāl,"15.48,78.48"
Pulimaddi,"15.5386,78.4613"
Morena,"26.5,78.0"
Karjat,"18.55,75.0"
Drabar,"33.43,75.09"
Amroha,"28.9044,78.4675"
Rānī,"9.3667,76.7667"
Chakradharpur,"22.7,85.63"
Bhiwāni,"28.78,76.13"
Bhind,"26.5587,78.7871"
Khammam,"17.2473,80.1514"
Madhyamgram,"22.7,88.45"
Ghāndīnagar,"23.2231,72.65"
Baharampur,"24.1,88.25"
Morbi,"22.82,70.83"
Pāndhurnā,"21.6,78.52"
Fatehpur,"25.93,80.8"
Rāe Bareli,"26.2236,81.2403"
Damān,"20.42,72.85"
Orai,"25.98,79.47"
Mahbūbnagar,"16.7488,78.0035"
Murtazābād,"28.7111,77.2688"
Rājendranagar,"17.3198,78.4031"
Ratanpur,"23.0851,72.5716"
Bhusāval,"21.05,75.77"
Bahraigh,"27.575,81.594"
Umreth,"22.6986,73.1156"
Ittikara,"8.8633,76.6972"
Mahesāna,"23.6,72.4"
Rāiganj,"25.62,88.12"
Batāla,"31.8186,75.2028"
Sirsa,"29.5333,75.0167"
Morsi,"21.318,78.0095"
Dinapore,"25.6225,85.0417"
Tambaram,"12.831,80.0459"
Kāraikkudi,"10.0735,78.7732"
Shrīrāmpur,"22.75,88.34"
Himatnagar,"23.6,72.95"
Guna,"24.65,77.32"
Nawāda,"24.88,85.53"
Jaunpur,"25.73,82.68"
Mahād,"18.083,73.417"
Madanapalle,"13.55,78.5"
Wadlakonda,"17.7736,79.575"
Bhachāu,"23.296,70.343"
Shivpuri,"25.43,77.65"
Sātāra,"17.688,74.006"
Phillaur,"31.03,75.78"
Unnāo,"26.55,80.49"
Sītāpur,"27.57,80.66"
Kalamboli,"19.2333,73.1333"
Wārāseonī,"21.7647,80.0494"
Mauli,"30.699,76.693"
Harnaut,"25.3694,85.5319"
Navadwīp,"23.42,88.37"
Kotdwāra,"29.75,78.53"
Pīlibhīt,"28.6267,79.8058"
Alleppey,"9.49,76.33"
Cuddalore,"11.75,79.75"
Gondal,"21.958,70.795"
Deo,"24.6561,84.4356"
Silchar,"24.82,92.8"
Chīrāla,"15.8246,80.3521"
Gadag,"15.4167,75.6167"
Tiruvannāmalai,"12.13,79.07"
Bīdar,"17.912,77.52"
Jalālābād,"30.62,74.25"
Nawsari,"20.95,72.93"
Valsād,"20.61,72.926"
Medinīpur,"22.424,87.319"
Damoh,"23.8331,79.4419"
Harīpur,"31.53,75.92"
Neyveli,"11.6088,79.4994"
Bāramūla,"34.198,74.364"
Malkāpur,"20.885,76.2"
Jīnd,"29.3167,76.3167"
Chandannagar,"22.87,88.38"
Ādoni,"15.6279,77.2749"
Alasandigutta,"15.6244,77.2731"
Udipi,"13.3389,74.7451"
Fyzābād,"26.773,82.146"
Sawāi Mādhopur,"26.0,76.35"
Tenāli,"16.239,80.645"
Conjeeveram,"12.8185,79.6947"
Madhubani,"26.3519,86.0719"
Proddatūr,"14.75,78.55"
Sultānpur Mazra,"28.6981,77.0689"
Wāpi,"20.372,72.917"
Godhra,"22.7772,73.6203"
Multai,"21.77,78.25"
Rājapālaiyam,"9.4204,77.58"
Pangzawl,"22.91,92.76"
Chittoor,"13.216,79.098"
Sivakāsi,"9.4533,77.8024"
Moga,"30.822,75.174"
Budaun,"28.05,79.12"
Uttarpāra,"22.67,88.35"
Daltonganj,"24.03,84.07"
Bharūch,"21.712,72.993"
Saharsa,"25.88,86.6"
Vidisha,"23.53,77.82"
Pathānkot,"32.2668,75.6"
Nowgong,"26.3504,92.6796"
Thānesar,"29.9667,76.8167"
Kishangarh,"26.57,74.87"
Rudarpur,"28.98,79.4"
Tindwāra,"25.4833,80.3333"
Nalgonda,"17.05,79.27"
Ambikāpur,"23.12,83.2"
Dibrugarh,"27.48,95.0"
Verāval,"20.9159,70.3629"
Betūl Bazār,"21.905,77.902"
Bālurghāt,"25.22,88.76"
Jorhāt,"26.75,94.22"
Krishnanagar,"23.4,88.5"
Bārākpur,"22.76,88.37"
Shāntipur,"23.25,88.43"
Hindupur,"13.83,77.49"
Beāwar,"26.1,74.32"
Bhālswa Jahangirpur,"28.7354,77.1638"
Erode,"11.3409,77.7171"
Nāngloi Jāt,"28.6833,77.0667"
Soro,"21.29,86.69"
Nūzvīd,"16.7881,80.8465"
Sitārganj,"28.93,79.7"
Hājīpur,"25.6925,85.2084"
Hābra,"22.83,88.63"
Bīr,"18.99,75.76"
Amreli,"21.6006,71.2164"
Nārnaul,"28.0444,76.1056"
Chitaldrug,"14.23,76.4"
Etah,"27.63,78.67"
Abohar,"30.1334,74.2001"
Kaithal,"29.8015,76.3998"
Balasore,"21.5033,86.925"
Mallapalli,"9.4461,76.6567"
Koiridih,"24.18,86.3"
Shillong,"25.5822,91.8944"
Rewāri,"28.1833,76.6167"
Hazāribāgh,"23.98,85.35"
Bhīmavaram,"16.543,81.523"
Mandsaur,"24.03,75.08"
Villupuram,"11.9401,79.4861"
Harchandpur,"26.36,81.17"
Kumbakonam,"10.9602,79.3845"
Aul,"20.67,86.64"
Kolār,"13.1333,78.1333"
Chicacole,"18.3,83.9"
Bānkura,"23.25,87.07"
Mandya,"12.52,76.9"
Dehri,"24.91,84.18"
Durgauti,"25.2114,83.5308"
Mainpuri,"27.23,79.02"
Talaivāsal,"11.5867,78.7583"
Dīsa,"24.2501,72.1822"
Raigarh,"21.8974,83.395"
Siwān,"26.22,84.36"
Kalol,"23.246,72.496"
Hassan,"13.012,76.068"
Lalitpur,"24.69,78.41"
Gondiā,"21.4598,80.195"
Dalūpura,"28.6004,77.3194"
Naryāi ka Puri,"26.52,78.35"
Palwal,"28.1447,77.3255"
Pālghāt,"10.775,76.651"
Chittandikavundanūr,"10.6129,76.8508"
Ānand,"22.556,72.951"
Botād,"22.17,71.67"
Bongaigaon,"26.4769,90.5583"
Mukeriān,"31.95,75.62"
Hanumāngarh,"29.58,74.32"
Jetpur,"21.7542,70.6222"
Arcot,"12.9047,79.3238"
Kānchrāpāra,"22.9456,88.4332"
Hoshangābād,"22.7475,77.7274"
Chās,"23.63,86.17"
Khanna,"30.7,76.22"
Nagda,"23.4564,75.4131"
Hardoī,"27.42,80.12"
Guntakal,"15.17,77.38"
Pithampur,"22.6197,75.6933"
Pātan,"23.85,72.125"
Basīrhat,"22.6572,88.8942"
Hālīsahar,"22.9469,88.4184"
Jagādhri,"30.168,77.301"
Sunām,"30.13,75.8"
Rishra,"22.71,88.35"
Jhārsugra,"21.85,84.03"
Pāli,"23.35,81.05"
Nāndgaon,"20.307,74.657"
Alwāl,"17.5047,78.5038"
Dimāpur,"25.92,93.73"
Sarangāpuram,"18.9447,78.9936"
Bhadrakh,"21.0545,86.5156"
Dharmavaram,"14.43,77.72"
Sivaganga,"9.8433,78.4809"
Puruliya,"23.34,86.36"
Ghazīpur,"25.58,83.57"
Bagaha,"27.0992,84.09"
Gudiyāttam,"12.9476,78.87"
Mahuva,"21.0833,71.8"
Gurdāspur,"32.0333,75.4"
Khurda,"20.18,85.62"
Nokha,"27.6,73.42"
Jandrapeta,"15.8246,80.3521"
Hengken,"24.346,93.7"
Yelahanka,"13.1007,77.5963"
Darjeeling,"27.0375,88.2631"
Sopur,"34.3,74.47"
Chikmagalūr,"13.313,75.737"
Gudivāda,"16.43,80.99"
Phagwāra,"31.22,75.77"
Pudukkottai,"10.3833,78.8001"
Adilābād,"19.6667,78.5333"
Baripāda,"21.94,86.72"
Yavatmāl,"20.24,78.06"
Titāgarh,"22.74,88.37"
